id,projectId,landmark,fullAddress,pincode
cmf53kl01000nvcu8ibut7fka,cmf53kkzy000fvcu8tx8jwjmr,Babys school,Mumbai chembur,411017
cmf5r6hv30008vxptq5el3h5n,cmf5r6hv00001vxptnfichhfl,Sai nagar ,"sr no 13 beside godrej, opposite to mca stadium, sai nagar, mamurdi, pune ",412101
cmfawdrnt000kvc18h3j7e93j,cmfawdrno0007vc18l0fm0z2j,Sindhi Society,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",400071
cmfaxq2ot002avc18ild77rjg,cmfaxq2oo0020vc1806nmle00,Sindhi Society,"Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",400069
cmfaycwya003hvc18yc5gtwtc,cmfaycwy70036vc18ppmb8mwh,Hind high school,"104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075",400075
cmfc6pq1n000cvca0gpdjstzf,cmfc6pq1k0001vca0ikzb258m,JBCN International School Mulund,Prataprao Gujar Rd Neelam Nagar Mulund East Mumbai Maharashtra 400081,400081
cmfc79ip8001lvca0o1ls6fuz,cmfc79ip5001cvca0qht6o44p,JBCN International School Parel,AVENUE 15 Ramesh Barrel Supplying Company K.T.Gupta Wadi S.P.Murai Rd behind Sewri Road Sewri W Maharashtra 400015,400015
cmfc80zv4002lvca04o23il71,cmfc80zv1002dvca0hcgoc6ea,Infiniti Mall ,"Swaroop Aditya Avenue, Sheraton Hotel, Marol Pipeline Rd, near Itc Maratha, Kanti Nagar, J B Nagar, Andheri East, Mumbai, Maharashtra 400099",400099
cmfc8w1ea003nvca0sz7s13bl,cmfc8w1e8003dvca0yvieggaz,R Mall,"Marigold Miraaya, Purushottam Kheraj Rd, Asha Nagar, Mulund West, Mumbai, Maharashtra 400080",400080
cmfcccifw004vvca0mvtcgxos,cmfcccifs004nvca0b7im3r5a,Lodha Xperia Mall,64C5+C63 Dombivli East Dombivli Maharashtra 421301,421201
cmfcd6uus005ovca0f1pjzb76,cmfcd6uup005fvca03vhph9j1,R City,"3WG5+CHM, 90 Feet Rd, Garodia Nagar, Ghatkopar East, Mumbai, Maharashtra 400077",400077
cmfcdo9ek006qvca0y01p1j7c,cmfcdo9ei006gvca0wq9t8usr,Criticare Hospital,"Makwana Rd, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059",400059
cmfcg9req000avc20v8brb1zg,cmfcg9ren0001vc209rw25eve, Sarai Sport Acadamy,"Â Kate Wasti Rd, Kate Wasti, Punawale, Pimpri-Chinchwad, Dattwadi, Maharashtra 411033",411033
cmfdmdqmu000jvc90b6auuc6b,cmfdmdqmq0008vc90svu2sfto,Station Road Saraswat Colony,"CTS NO 391, Station Rd, opp. Zilla Parishad, Mangalwar Peth, Somwar Peth, Pune, Maharashtra 411011",411011
cmfdnk2s1001xvc90bewa3cn0,cmfdnk2rz001rvc90t6aa3f0e,Model Colony,"1102/A/48, Lakaki Rd, Model Colony, Shivajinagar, Pune, Maharashtra 411016",411016
cmfdro2w4002ovc90arhj0v5w,cmfdro2w2002ivc90co2n24lb,Bharat English School & jr. College,"Dinmanee, Squadron Leader Sureshchandra Bhagwat Rd, Model Colony, Shivajinagar, Pune, Maharashtra 411016",411016
cmfdssd1b003fvc90p5sgwr4n,cmfdssd190037vc90paoxv29h,Renuka mata mandir,"Sr.no.36 Zoa, keshav nagar,Neatr renuka mata Temple Mundhwa, pune 411036",411036
cmfdu2099004evc90okn0mpde,cmfdu20970046vc90g587nym1,Shri Kshetra Kalbhairavnath Temple,"Survey no. 18-19, plot no. p7, river road, Thite Nagar, Kharadi, Pune, Maharashtra 411014",411014
cmfdvkxex0059vc90y73532b2,cmfdvkxeu0053vc90gquj3cbz,Sai nagar Rd,"Sai Nagar, Mamurdi, Dehu Road, Maharashtra 412101",412101
cmfdxi4sy005zvc909kpgh2dl,cmfdxi4sv005rvc90ygfhnzc9, Maharashtra Cricket Association Stadium,"MP78+P45, St Tukaram Nagar, Mamurdi, Dehu Road, Maharashtra 412101",412101
cmfdyb2yf0071vc90z0jmbahe,cmfdyb2yc006rvc900owycgrv,Chandraprabha corner,"BRT Link Rd, Ravet, Pimpri-Chinchwad, Maharashtra 412101",412099
cmfdz9fvz008hvc9079u0jrlc,cmfdz9fvx0088vc90pw26eyr8,Police Station,"Santiago sky town, MP9R+2JG, Ravet Rd, Vikas Nagar, Ravet, Pimpri-Chinchwad, Dehu Road, Maharashtra 412101",412101
cmfe01l6j009pvc902gw4nwqa,cmfe01l6h009gvc90y1zazr09,MNGL CNG Station,"The Silver altair Project Sr.No. 8/1,12/5 Near MNGL CNG Station , Aundh Ravet BRTS RD, Ravet",412101
cmff8swbn0007vxp7bhj7cmqv,cmff8swbm0001vxp7pe3neibi,sdfgb,asdfgh,123456
cmftjwws90009vx552vtbze6k,cmftjwws60001vx55r0q7797l,LANDMARK,ADDRESS,123456
cmfw5ivre0009vxnkmzexw3zd,cmfw5ivra0001vxnkbozvz8bd,sedrftgyhuj,awsedrftgyhujk,123456
cmfwd3782000evxgxgjz4wuum,cmfwd377z0008vxgxd9nju858,landmark,address,828123
cmfxrvmud000kqq13r64tex8v,cmfxrvmuc0009qq138n0vk91p,Jain mandir ,"Building No 10, Subhash Nagar Redevelopment Cluster, Subhash Nagar, Chembur, Mumbai, Maharashtra 400071",400071
cmfxtgtbz000fvxov0zosuc1d,cmfxtgtbw0009vxov4t5onh7d,esrdfghbj,sdfghj,123456
cmfxwmse80007qq099axxvni0,cmfxwmse70001qq0908yt6oar,Shri siddhivinayak ganesh temple,"Building No 10, Subhash Nagar Redevelopment Cluster, Subhash Nagar, Chembur, Mumbai, Maharashtra 400071",400076
cmfxxh08u001cqq09fwo5o5i7,cmfxxh08t0013qq09o0rajcrt,Shri siddhivinayak ganesh temple,"Subhash Nagar, Chembur, Mumbai Harbour, Mumbai",400076
